,Location Names,County,"Notes for ""Other",Product Description,Program,Proteins LBS,Starch LBS,Veg LBS,Fruit LBS,Baked Goods LBS,Dairy LBS,Grocery LBS,Indvid Meal LBS,Individual Meals,Total Pounds,Column1,Column2,Missing Addresses
SASKC,"Salvation Army: St Joe, Kroc Center",SJ,0,0,CCFN,0,0,0,0,0,0,0,30,24,30,78,0,"900 W Western Ave, South Bend, IN 46601"
OP,Oaklawn,SJ,0,0,CCFN,3.7,20,6,0,27,0,11,0,0,67.7,78,0,"415 E Madison St, South Bend, IN 46617"
TC,The Center,ELK,0,0,CCFN,0,0,0,0,28,0,0,150,120,178,78,0,
TO,Thee Outlet,SJ,0,0,Backpack,0,0,0,0,0,0,0,150,120,150,78,0,"22500 US-20 Suite B, South Bend, IN, United States, 46628"
CCCFP,Christian Center Church,SJ,0,0,CCFN,101,74,0,59.5,0,0,0,0,0,234.5,78,0,"530 E Ireland Rd, South Bend, IN 46614"
CLAY,Clay Church Food Pantry,SJ,0,0,CCFN,0,0,0,0,350,0,0,375,300,725,78,0,
CSO,Concord: South Side,ELK,0,0,Backpack,0,0,0,0,0,0,0,225,180,225,78,0,
CHCC,Crowned Heros Care Center,SJ,0,0,CCFN,0,0,0,151,0,0,0,0,0,151,78,0,"2601 Benham Ave, Elkhart, IN 46517"
ESPH,Elkhart Schools: Pace Preschool/Hawthorne,ELK,0,0,Backpack,0,0,0,0,0,0,0,187.5,150,187.5,78,0,
MLC,Maple Leaf Commons,ELK,0,0,CCFN,149,0,6,37,0,59.7,96,0,0,347.7,78,0,
GSCE,Goshen Schools: Chamberlain Elementary,ELK,0,0,Backpack,0,0,0,0,0,0,0,45,36,45,78,0,
GSGI,Goshen Schools: Goshen Intermediate,ELK,0,0,Backpack,0,0,0,0,0,0,0,112.5,90,112.5,78,0,
GSWE,Goshen Schools: Waterford Elementary,ELK,0,0,Backpack,0,0,0,0,0,0,0,127.5,102,127.5,78,0,
GFP,Gymtown Pantry INC.,ELK,0,0,CCFN,63,0,0,55,14,0,35,0,0,167,78,0,
PAA,Premier Arts Academy,ELK,0,0,Backpack,0,0,0,0,0,0,0,345,276,345,78,0,
MHA,Miami Hills Apartments,SJ,0,0,CCFN,28,0,0,0,0,24,22,0,0,74,78,0,
RA,Rushton Apartments,SJ,0,0,CCFN,0,0,1.3,54,56,0,64,0,0,175.3,78,0,"501 W W Washington St, South Bend, IN 46601"
SAG,"Salvation Army North Main Street, Goshen, IN",ELK,0,0,CCFN,63,72,0,0,0,102,114,0,0,351,78,0,
SBCS,South Bend Community Schools: Navarre,SJ,0,0,Backpack,0,0,0,0,0,0,0,37.5,30,37.5,78,0,
STVINC,St Vincent de Paul Pastoral Center,ELK,0,0,CCFN,0,0,0,96,0,0,146,150,120,392,78,0,"428 Melcher Ave, Elkhart, IN 46516"
THB,Bristol Community Food Pantry,ELK,0,0,CCFN,0,0,0,0,112,0,0,0,0,112,78,0,
TW,The Window,ELK,0,0,CCFN,159,0,0,56,0,0,0,15,12,230,78,0,"223 S Main St, Goshen, IN 46526"
WHCP,World Harvest Church Elkhart,ELK,0,0,CCFN,0,0,14.3,151,6,0,0,150,120,321.3,78,0,
0,Young Women's Christian Association,SJ,0,0,CCFN,0,100,3,225,0,48,0,0,0,376,78,0,
BGCE,Boys & Girls Club of Elkhart,ELK,0,0,Backpack,0,24,0,37,0,24,88,75,0,248,78,0,
EC,The Excel Center - Elkhart,SJ,0,0,CCFN,0,0,0,0,0,0,0,112.5,90,112.5,78,0,
FFC,Family Resource Center,SJ,0,0,Backpack,0,0,0,0,0,0,0,225,180,225,78,0,
ESEE,Elkhart Schools: Eastwood Elementary,ELK,0,0,Backpack,0,0,0,0,0,0,0,120,96,120,78,0,
ESR,Elkhart Schools: Riverview,ELK,0,0,Backpack,0,0,0,0,0,0,0,270,216,270,78,0,
GSME,Goshen Schools: Model Elementary,ELK,0,0,Backpack,0,0,0,0,0,0,0,112.5,90,112.5,78,0,
FAF,Community Fridge,SJ,0,0,CCFN,0,48,10,27,0,0,22,30,24,137,78,0,"911 California Ave, South Bend, IN 46616"
GFP,Gymtown Pantry INC.,ELK,0,0,CCFN,0,0,0,0,252,0,0,0,0,252,78,0,
GPVE,Goshen Schools: Prairie View Elementary,ELK,0,0,Backpack,0,0,0,0,0,0,0,22.5,18,22.5,78,0,
HCHSN,Heart City Health - Simpson,ELK,0,0,Backpack,0,0,0,0,0,0,0,187.5,150,187.5,78,0,
