Date,Vendor Code,Vendor,County,"Notes for ""Other",Order #,Program,Protein LBS,Starch LBS,Veg LBS,Fruit LBS,Baked Goods LBS,Dairy LBS,Grocery LBS,Indiv Meal LBS,Indiv Meals,Total Pounds," 8,093,927.70 ",,,,,,,,
1/11/2023,,Oaklawn Properties,St. Joseph,,5461,CCFN,,,,,,,2.2,,,2.2,,,,,,,,,
1/11/2023,,Saving Grace,,,5432,Backpack,,,,,,,,37.5,30,37.5,,,,,,,,,
1/11/2023,,Saving Grace,,,5432,CCFN,,,4,,13,52,134,,,203,,,,,,,,,
1/11/2023,,Serenity House,Elkhart,,5237,CCFN,,,,1,,33.5,,,,34.5,,,,,,,,,
1/11/2023,,Serenity House,Elkhart,,5389,CCFN,,,,,0,32,,,,32,,,,,,,,,
1/11/2023,,St. Augustine Parish - Soup Kitchen,St. Joseph,,5320,CCFN,,,,,,,27,,,27,,,,,,,,,
1/11/2023,,St. Margaret's House,,,5337,CCFN,80,,11.9,74,,30,,,,195.9,,,,,,,,,
1/11/2023,,St. Paul's United Methodist Church,,,5424,Backpack,,,,,,,,30,24,30,,,,,,,,,
1/11/2023,,St. Paul's United Methodist Church,,,5424,CCFN,,,1.2,30.3,17,2,,,,50.5,,,,,,,,,
1/11/2023,,The Center,Elkhart,,5368,CCFN,19.5,,2.6,,,174.6,,,,196.7,,,,,,,,,
1/11/2023,,The Center,Elkhart,,5377,CCFN,29,,,,,,,,,29,,,,,,,,,
1/11/2023,,The Center,Elkhart,,5391,CCFN,,,,,,12,,,,12,,,,,,,,,
1/11/2023,,The Center,Elkhart,,5392,CCFN,,,,,,127.5,165,,,292.5,,,,,,,,,
1/11/2023,,The Center,Elkhart,,5426,CCFN,,,4.4,,,,,,,4.4,,,,,,,,,
1/11/2023,,The Center,Elkhart,,5427,CCFN,,,,,,,10.5,,,10.5,,,,,,,,,
1/12/2023,,Broadway Christian Parish,St. Joseph,,5435,Backpack,,,,,,,,75,60,75,,,,,,,,,
1/12/2023,,Broadway Christian Parish,St. Joseph,,5435,CCFN,,,15.6,,2.5,20,64.8,,,102.9,,,,,,,,,
1/12/2023,,Gymtown Food Pantry,Elkhart,,5340,CCFN,13.5,,,,156.3,219.5,620,,,1009.3,,,,,,,,,
1/12/2023,,Gymtown Food Pantry,Elkhart,,5364,CCFN,43.5,,,,,,,,,43.5,,,,,,,,,
1/12/2023,,Gymtown Food Pantry,Elkhart,,5365,CCFN,,,,,,,433,,,433,,,,,,,,,
1/12/2023,,Gymtown Food Pantry,Elkhart,,5366,CCFN,,,8.8,,,,,,,8.8,,,,,,,,,
1/12/2023,,Gymtown Food Pantry,Elkhart,,5367,CCFN,80.5,,45,,,12,136,,,273.5,,,,,,,,,
1/12/2023,,Gymtown Food Pantry,Elkhart,,5407,CCFN,,,,,,,14,,,14,,,,,,,,,
1/12/2023,,Gymtown Food Pantry,Elkhart,,5409,CCFN,,23.4,8.8,,,,126,,,158.2,,,,,,,,,
1/12/2023,,Gymtown Food Pantry,Elkhart,,5410,CCFN,8,,0.4,,,,13.3,,,21.7,,,,,,,,,
1/12/2023,,Gymtown Food Pantry,Elkhart,,5411,CCFN,142.5,,6,213.1,26.3,,30,,,417.9,,,,,,,,,
1/12/2023,,Gymtown Food Pantry,Elkhart,,5412,CCFN,,,,,,,31,,,31,,,,,,,,,
1/12/2023,,Gymtown Food Pantry,Elkhart,,5454,CCFN,,,,,,,0.8,,,0.8,,,,,,,,,
1/12/2023,,Middlebury Boys & Girls Club,,,5299,CCFN,21.3,,,,,,,,,21.3,,,,,,,,,
1/12/2023,,Middlebury Boys & Girls Club,,,5348,CCFN,8,,1.1,,,,,,,9.1,,,,,,,,,
1/12/2023,,Middlebury Boys & Girls Club,,,5350,CCFN,11.3,,,,78.1,30.9,62,,,182.3,,,,,,,,,
1/12/2023,,Middlebury Boys & Girls Club,,,5358,CCFN,,,,,,15,130,,,145,,,,,,,,,
1/12/2023,,Middlebury Boys & Girls Club,,,5361,CCFN,,,,,,,68,,,68,,,,,,,,,
1/12/2023,,Middlebury Boys & Girls Club,,,5401,CCFN,36,,,,27,,118,,,181,,,,,,,,,
1/12/2023,,Middlebury Boys & Girls Club,,,5455,CCFN,,,,,28.4,,98.8,,,127.2,,,,,,,,,
1/12/2023,,Middlebury Community Food Pantry,Elkhart,,5469,CCFN,135.5,,51.8,,,72,51,,,310.3,,,,,,,,,
1/12/2023,,Our Lady of the Road Soup Kitchen,St. Joseph,,5346,Backpack,,,,,,,,45,36,45,,,,,,,,,
1/12/2023,,Our Lady of the Road Soup Kitchen,St. Joseph,,5346,CCFN,5,,8.4,49.8,,6,150,,,219.2,,,,,,,,,
1/12/2023,,Salvation Army - Elkhart,Elkhart,,5420,Backpack,,,,,,,,150,120,150,,,,,,,,,
1/12/2023,,Salvation Army - Goshen,Elkhart,,5341,CCFN,61.5,,,162,,,281.5,,,505,,,,,,,,,
1/12/2023,,St. Adalbert & St. Casimir,,,5481,Backpack,,,,,,,,45,36,45,,,,,,,,,
1/12/2023,,St. Adalbert & St. Casimir,,,5481,CCFN,,,11.6,9,32.3,60,66.8,,,179.7,,,,,,,,,
1/12/2023,,The Grace Place(DISABLED),,,5376,CCFN,,,,,,43.5,186,,,229.5,,,,,,,,,
1/12/2023,,The Grace Place(DISABLED),,,5387,CCFN,,,,,,,130,,,130,,,,,,,,,
1/12/2023,,The Grace Place(DISABLED),,,5415,CCFN,85.5,,2.2,456.8,3.9,,141.5,,,689.9,,,,,,,,,
1/12/2023,,The Grace Place(DISABLED),,,5450,CCFN,,,5,,,,2.5,,,7.5,,,,,,,,,
1/12/2023,,The Hub Bristol,Elkhart,,5336,CCFN,29,,,,,424.4,,,,453.4,,,,,,,,,
1/12/2023,,The Hub Bristol,Elkhart,,5369,CCFN,,,22.5,,,,17.5,,,40,,,,,,,,,
